                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1044,                 3.3103,                 2.3298,                0.13158,                0.08638,                 0.0543,                0.01983,                 1.6821,                 2.6686,                 1.9208,                0.00018,                0.00018,                0.00018
                      2,                 1.7671,                  2.443,                 2.0374,                0.38887,                 0.3289,                0.33005,                0.19405,                  1.662,                 2.3769,                 1.8893,             0.00037624,             0.00037624,             0.00037624
                      3,                  1.693,                 2.0016,                 2.0707,                0.45579,                0.40532,                0.35136,                0.20062,                 1.4866,                 2.0438,                 1.9648,             0.00056852,             0.00056852,             0.00056852
                      4,                  1.536,                 1.8377,                   2.06,                0.48048,                0.40864,                0.40526,                 0.2136,                 1.4563,                 2.3727,                   1.97,             0.00075683,             0.00075683,             0.00075683
                      5,                 1.5639,                 1.7406,                 2.0738,                 0.5617,                0.43189,                0.47778,                0.30029,                 1.3666,                 2.0292,                 1.9703,             0.00094119,             0.00094119,             0.00094119
                      6,                 1.5331,                 1.6818,                 2.0494,                0.58719,                 0.4485,                0.52438,                0.35268,                  1.284,                 2.7623,                 1.8872,              0.0011216,              0.0011216,              0.0011216
                      7,                 1.5145,                 1.5481,                   2.03,                0.51513,                0.45533,                0.50726,                 0.3405,                 1.3387,                 2.4338,                 1.9416,               0.001298,               0.001298,               0.001298
                      8,                  1.467,                 1.4929,                 2.0752,                0.56747,                0.48837,                0.52637,                0.33636,                 1.3258,                 2.0199,                 1.9535,              0.0014705,              0.0014705,              0.0014705
                      9,                 1.5079,                 1.4849,                 2.0557,                0.63595,                0.48505,                0.54887,                0.35815,                 1.3322,                 1.8312,                 1.8389,               0.001639,               0.001639,               0.001639
                     10,                 1.5246,                 1.4905,                 2.0815,                0.57278,                0.48105,                0.50798,                0.33327,                  1.398,                 1.9492,                 1.8897,              0.0018036,              0.0018036,              0.0018036
                     11,                 1.4722,                 1.4531,                 2.0638,                0.76597,                0.41319,                0.51963,                0.35745,                 1.2942,                 1.6284,                 1.9167,               0.001802,               0.001802,               0.001802
                     12,                 1.5045,                 1.4934,                 2.0875,                0.63632,                0.49169,                0.55696,                0.35948,                 1.3298,                 1.4421,                 1.9036,               0.001802,               0.001802,               0.001802
                     13,                 1.4682,                 1.4281,                 2.0876,                0.71374,                0.43902,                0.51827,                0.34518,                 1.3197,                 1.4921,                 1.8448,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.4116,                  1.386,                   2.02,                0.63875,                0.49345,                0.56445,                 0.3703,                 1.3042,                 1.4899,                 1.8629,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.4392,                 1.3801,                 2.0226,                0.64516,                0.51343,                0.59717,                0.38306,                 1.3052,                 1.5063,                 1.8845,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.3829,                 1.3337,                 1.9567,                0.67416,                0.47429,                0.53708,                0.36975,                 1.3181,                 1.4732,                 1.8644,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.4362,                 1.3847,                  2.123,                0.65275,                0.46179,                0.53796,                0.35293,                 1.3946,                  1.594,                 1.9483,               0.001703,               0.001703,               0.001703
                     18,                 1.4136,                 1.4209,                 1.9823,                0.60248,                0.50498,                 0.5467,                 0.3753,                 1.3114,                 1.5052,                 1.9778,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.423,                 1.3878,                 1.9931,                 0.7286,                 0.4727,                0.56711,                0.38542,                  1.273,                 1.3859,                 2.0003,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.4176,                 1.3731,                 2.0248,                0.78589,                0.46179,                0.58462,                0.39037,                 1.3237,                 1.3278,                 1.9164,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.3293,                 1.2796,                  1.963,                 0.6943,                0.50166,                0.61241,                 0.4159,                 1.2433,                 1.4244,                 1.9426,              0.0016238,              0.0016238,              0.0016238
                     22,                  1.343,                 1.3116,                 1.9588,                0.71799,                0.49834,                0.61771,                0.41229,                 1.2077,                 1.2665,                 1.8413,               0.001604,               0.001604,               0.001604
                     23,                 1.3313,                 1.2885,                 1.9655,                 0.6728,                0.48502,                0.56049,                0.36334,                 1.2733,                  1.372,                 1.8627,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.3431,                  1.262,                 1.8935,                0.65881,                 0.5132,                0.57263,                0.38776,                 1.3049,                 1.3677,                  1.942,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.2861,                 1.2268,                 1.9215,                0.70841,                 0.5085,                0.60727,                0.40958,                 1.2469,                 1.4369,                 1.8846,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.3418,                 1.2521,                 1.9579,                0.66592,                0.50831,                 0.6057,                0.41851,                  1.202,                 1.2458,                 1.8739,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.2852,                 1.1802,                 1.9362,                0.61591,                0.48481,                 0.5548,                0.37708,                 1.3145,                 1.3414,                 1.9257,               0.001505,               0.001505,               0.001505
                     28,                 1.3149,                 1.2534,                 1.9467,                0.62357,                0.50632,                0.56172,                 0.3915,                 1.2632,                 1.3212,                 1.8818,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.3023,                 1.1914,                 1.9699,                0.68557,                0.49259,                0.57974,                 0.4048,                 1.2167,                 1.3936,                 1.9062,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.2889,                 1.1915,                 1.9969,                0.64842,                0.53156,                0.61276,                0.40748,                 1.2708,                 1.3361,                 1.8723,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.2063,                 1.1193,                 1.8217,                0.53554,                0.55928,                0.56575,                0.38379,                 1.2474,                 1.3149,                 1.8889,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.2498,                 1.2019,                 1.9699,                 0.6095,                0.48837,                0.54508,                 0.3807,                  1.228,                 1.3217,                 1.8598,               0.001406,               0.001406,               0.001406
                     33,                 1.2838,                 1.1638,                 1.9686,                0.65783,                0.47904,                0.57773,                0.40188,                 1.2265,                 1.2745,                 1.8256,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.1826,                 1.0823,                 1.9039,                0.61544,                0.50831,                0.58941,                0.38327,                 1.3159,                 1.3082,                 1.9035,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.2103,                 1.0609,                 1.8619,                0.65463,                0.50166,                0.57934,                0.38334,                 1.3587,                 1.3886,                 1.9133,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.2897,                 1.1336,                 1.9017,                0.64832,                0.50166,                 0.5577,                0.38948,                 1.2646,                 1.3754,                 1.8813,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.2965,                 1.1524,                 1.8884,                0.73995,                0.46179,                0.57619,                0.41435,                 1.1848,                 1.2629,                 1.8862,               0.001307,               0.001307,               0.001307
                     38,                 1.2856,                 1.1101,                 1.9539,                0.67776,                0.50312,                0.59356,                0.41929,                  1.191,                 1.3039,                  1.867,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.2139,                 1.1107,                 1.8621,                0.58344,                0.52159,                0.56977,                0.39782,                 1.2388,                 1.3216,                 1.8979,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.2269,                 1.0435,                 1.8686,                0.59784,                0.54817,                0.58079,                0.39882,                 1.2445,                 1.2864,                 1.8992,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1924,                 1.0657,                 1.8649,                0.62786,                0.54817,                0.60785,                 0.4208,                 1.1845,                 1.2512,                 1.8556,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2314,                 1.0669,                 1.8522,                0.69232,                0.50831,                0.61673,                0.41482,                 1.2284,                 1.2525,                 1.8807,               0.001208,               0.001208,               0.001208
                     43,                 1.1857,                 1.0236,                 1.8384,                0.59587,                0.49169,                0.53948,                 0.3753,                 1.2791,                 1.3948,                 1.9402,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.1529,                 1.0313,                 1.7858,                0.67241,                0.46371,                0.55566,                0.37449,                 1.3309,                 1.3519,                 1.8988,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.1687,                0.99744,                  1.792,                0.65125,                0.52492,                0.59209,                0.40552,                 1.1916,                 1.2214,                 1.8414,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1649,                 1.0329,                 1.8988,                0.58664,                 0.5515,                0.56798,                0.38317,                  1.263,                 1.2986,                 1.9724,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.1745,                 1.0388,                  1.861,                0.68803,                0.45515,                0.55804,                0.38422,                 1.2752,                 1.2767,                 1.9606,               0.001109,               0.001109,               0.001109
                     48,                  1.147,                 1.0119,                 1.8306,                0.66066,                0.47864,                0.54507,                 0.3842,                 1.2565,                  1.317,                 1.9262,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0967,                0.96541,                 1.7931,                0.57518,                0.50829,                0.54079,                0.37914,                 1.2731,                 1.2899,                 1.9434,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1702,                 1.0663,                 1.8738,                0.72401,                0.46179,                0.58208,                0.40231,                 1.2414,                 1.2818,                 1.9096,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.1699,                0.99437,                  1.871,                0.69236,                0.52339,                0.60277,                0.41417,                 1.2129,                  1.284,                 1.8666,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.1281,                 0.9716,                 1.7864,                0.59116,                0.51401,                0.56479,                0.39837,                 1.1933,                 1.3056,                 1.8436,                0.00101,                0.00101,                0.00101
                     53,                  1.081,                0.94343,                 1.7909,                0.58934,                0.50166,                0.54437,                0.37989,                 1.2336,                 1.3339,                 1.8788,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1142,                 0.9475,                 1.8225,                0.65153,                0.48173,                0.55544,                 0.3854,                 1.2664,                 1.3154,                 1.9012,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.1423,                0.95701,                  1.781,                0.66289,                0.52159,                0.57681,                 0.3888,                 1.2773,                 1.2818,                 1.8955,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0464,                0.91928,                 1.7383,                0.65072,                0.50135,                0.56295,                 0.3777,                 1.3249,                 1.3561,                 1.9451,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0432,                0.86016,                 1.7537,                0.63748,                0.52159,                0.57473,                0.39431,                   1.28,                 1.3392,                 1.9165,               0.000911,               0.000911,               0.000911
                     58,                 1.0987,                0.95905,                 1.7969,                0.60878,                0.56352,                0.59584,                0.41333,                 1.1892,                 1.2789,                 1.8388,              0.0008912,              0.0008912,              0.0008912
                     59,                  1.106,                 0.9308,                 1.8239,                0.60694,                0.53866,                0.58296,                0.40286,                 1.2083,                 1.2797,                 1.8666,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0674,                0.92627,                 1.7805,                0.73308,                0.46179,                0.57886,                 0.3995,                 1.2458,                 1.2455,                 1.8628,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0776,                0.93301,                  1.778,                 0.7169,                0.49502,                0.60405,                0.40345,                  1.282,                 1.2212,                  1.874,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.1012,                0.92497,                 1.7872,                0.70149,                0.51827,                0.59626,                0.40587,                 1.2703,                  1.298,                 1.8796,               0.000812,               0.000812,               0.000812
                     63,                 1.0298,                0.84643,                 1.7577,                0.66992,                0.52824,                0.59896,                0.41379,                 1.2287,                 1.2885,                 1.8655,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0519,                0.85537,                 1.7561,                0.68356,                0.52159,                0.59591,                0.40528,                  1.253,                 1.2485,                 1.8535,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.0822,                0.87488,                 1.7394,                 0.6438,                 0.5224,                0.58699,                0.39114,                 1.2992,                 1.2422,                  1.891,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.0589,                0.89421,                 1.7409,                0.66128,                0.48837,                0.57274,                0.39194,                  1.292,                  1.274,                 1.9106,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0475,                0.88082,                 1.8012,                0.67678,                0.49502,                0.58673,                0.40139,                 1.2456,                 1.2548,                  1.858,               0.000713,               0.000713,               0.000713
                     68,                 1.0002,                0.82807,                 1.6986,                0.71711,                0.49834,                0.61365,                0.42669,                 1.1798,                 1.1967,                 1.8055,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.0616,                0.87903,                 1.7449,                0.74207,                0.48173,                0.61726,                0.42878,                 1.1872,                 1.1569,                 1.8143,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.0558,                 0.8821,                 1.7526,                0.63865,                0.55194,                 0.6251,                0.42376,                 1.2414,                 1.1457,                 1.8768,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.0237,                0.81378,                 1.7265,                0.65403,                0.55482,                0.62651,                0.42688,                 1.2389,                 1.1306,                 1.8974,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.0465,                0.84611,                 1.7467,                0.71087,                0.53156,                0.62233,                0.43346,                  1.191,                 1.1391,                 1.8625,               0.000614,               0.000614,               0.000614
                     73,                 1.0019,                0.83628,                 1.7143,                0.71132,                0.52492,                0.61497,                0.43213,                 1.1779,                 1.1752,                 1.8459,              0.0005942,              0.0005942,              0.0005942
                     74,                0.98841,                 0.8197,                 1.6955,                0.70945,                0.48505,                0.59023,                0.41384,                  1.197,                   1.24,                 1.8443,              0.0005744,              0.0005744,              0.0005744
                     75,                  1.005,                 0.8426,                 1.7185,                0.66035,                0.49834,                  0.566,                0.39572,                 1.2264,                 1.3072,                 1.8768,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.0241,                0.81649,                 1.7417,                0.67585,                0.49169,                 0.5658,                0.39158,                 1.2347,                 1.3034,                 1.8886,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.0392,                0.83949,                 1.7578,                 0.6314,                0.52824,                0.58477,                 0.4034,                 1.2099,                 1.2614,                 1.8658,               0.000515,               0.000515,               0.000515
                     78,                 1.0373,                0.82998,                 1.7564,                0.61946,                0.55482,                0.59981,                0.40627,                 1.2136,                 1.2187,                  1.883,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.0367,                 0.8447,                 1.7454,                0.60497,                0.57807,                0.60224,                0.41064,                 1.2271,                 1.2168,                 1.8961,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.0031,                0.79822,                 1.7222,                0.63722,                 0.5515,                0.60857,                0.41489,                 1.2496,                 1.2217,                 1.9011,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.0084,                 0.8089,                 1.7377,                0.74676,                0.49502,                0.61481,                0.41744,                  1.273,                 1.2051,                 1.8965,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.0053,                0.79552,                 1.7374,                0.72538,                0.51775,                0.62494,                0.42721,                 1.2575,                 1.1812,                 1.8859,               0.000416,               0.000416,               0.000416
                     83,                0.98602,                0.80536,                 1.7373,                 0.7021,                0.53156,                0.62335,                0.42857,                 1.2384,                 1.1732,                 1.8765,              0.0003962,              0.0003962,              0.0003962
                     84,                0.99093,                0.79845,                 1.7307,                0.72168,                0.50498,                0.62218,                0.42982,                 1.2145,                 1.1809,                 1.8688,              0.0003764,              0.0003764,              0.0003764
                     85,                0.98096,                0.77163,                 1.7137,                0.71985,                0.50498,                0.61888,                0.42542,                 1.2261,                 1.1849,                 1.8754,              0.0003566,              0.0003566,              0.0003566
                     86,                0.97302,                0.79778,                 1.7102,                0.65114,                0.54153,                0.61769,                0.42436,                 1.2225,                  1.185,                 1.8771,              0.0003368,              0.0003368,              0.0003368
                     87,                 0.9506,                0.76792,                 1.6302,                0.74512,                0.49834,                0.62019,                0.42978,                 1.2012,                 1.1756,                 1.8707,               0.000317,               0.000317,               0.000317
                     88,                0.98006,                0.77426,                 1.6887,                0.76806,                0.51163,                 0.6155,                0.43398,                 1.1863,                 1.1754,                 1.8516,              0.0002972,              0.0002972,              0.0002972
                     89,                0.91352,                0.72854,                 1.6521,                0.76345,                0.51163,                 0.6176,                0.43595,                 1.1934,                 1.1823,                 1.8492,              0.0002774,              0.0002774,              0.0002774
                     90,                0.91379,                 0.7397,                 1.6149,                0.67143,                0.55814,                0.61857,                0.43702,                 1.2038,                 1.1885,                 1.8578,              0.0002576,              0.0002576,              0.0002576
                     91,                 0.8463,                 0.7157,                 1.6545,                 0.6741,                0.53488,                 0.6141,                0.43455,                 1.2121,                 1.1944,                 1.8607,              0.0002378,              0.0002378,              0.0002378
                     92,                0.82439,                0.68587,                 1.5854,                0.78989,                 0.4871,                 0.6147,                0.42885,                 1.2395,                 1.1955,                 1.8627,               0.000218,               0.000218,               0.000218
                     93,                0.82363,                0.67048,                 1.5753,                0.78654,                0.49502,                0.61132,                0.42199,                 1.2538,                 1.2014,                 1.8646,              0.0001982,              0.0001982,              0.0001982
                     94,                0.83237,                0.67614,                 1.6169,                0.74777,                0.51163,                0.60727,                0.42294,                 1.2376,                 1.2075,                 1.8685,              0.0001784,              0.0001784,              0.0001784
                     95,                0.79923,                0.63699,                 1.5674,                0.69514,                0.53488,                0.60574,                0.42817,                 1.2077,                 1.1981,                 1.8673,              0.0001586,              0.0001586,              0.0001586
                     96,                0.83477,                0.66166,                  1.611,                0.67129,                0.54153,                0.59631,                0.42539,                 1.1901,                 1.2018,                   1.88,              0.0001388,              0.0001388,              0.0001388
                     97,                0.81246,                0.63893,                 1.5945,                0.67316,                0.54153,                0.60066,                 0.4265,                 1.1844,                  1.209,                 1.8802,               0.000119,               0.000119,               0.000119
                     98,                0.81701,                0.63287,                 1.5999,                0.68897,                0.52492,                 0.5939,                0.42341,                 1.1855,                 1.2196,                 1.8827,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.78828,                0.60905,                 1.5469,                0.69719,                0.52779,                 0.5993,                0.42396,                 1.1859,                 1.2185,                 1.8817,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.80986,                0.64013,                 1.6024,                0.70755,                0.52824,                0.59794,                 0.4213,                 1.1906,                 1.2214,                 1.8814,               5.96e-05,               5.96e-05,               5.96e-05
